pkid,timestamp,vin,diagnostic_id,snr_read,latitude,longitude
1,2020-03-14 01:33:29,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconBatteryLevelId,13,39.75946,-105.0153
2,2020-03-14 01:33:29,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconLiveTemperature,12.25,39.75946,-105.0153
3,2020-03-14 01:33:29,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconInRangeId,1,39.75946,-105.0153
4,2020-03-14 01:33:29,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconLiveRelativeHumidityId,30,39.75946,-105.0153
5,2020-03-14 01:33:29,1C4RJFAG1CC223766,DiagnosticBluetoothNitrogenDioxideConcentrationId,0,39.75946,-105.0153
6,2020-03-14 01:33:31,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconLiveRelativeHumidityId,29.875,39.75946,-105.0153
7,2020-03-14 01:33:31,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter10MicronId,10,39.75946,-105.0153
8,2020-03-14 01:33:31,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter2P5MicronId,9,39.75946,-105.0153
9,2020-03-14 01:33:34,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter10MicronId,7,39.75946,-105.0153
10,2020-03-14 01:33:34,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter2P5MicronId,6,39.75946,-105.0153
11,2020-03-14 01:33:36,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconLiveTemperature,12.3125,39.75946,-105.0153
12,2020-03-14 01:33:36,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter10MicronId,6,39.75946,-105.0153
13,2020-03-14 01:33:36,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter2P5MicronId,5,39.75946,-105.0153
14,2020-03-14 01:33:39,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter10MicronId,5,39.75946,-105.0153
15,2020-03-14 01:33:39,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter2P5MicronId,4,39.75946,-105.0153
16,2020-03-14 01:33:42,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter10MicronId,3,39.75946,-105.0153
17,2020-03-14 01:33:42,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconParticulateMatter2P5MicronId,2,39.75946,-105.0153
18,2020-03-14 01:33:44,1C4RJFAG1CC223766,DiagnosticBluetoothBeaconLiveRelativeHumidityId,30,39.75946,-105.0153
